player,season,nation,pos,age,Matches Played,Avg Mins per Match,Rating,Goals,Assists,Expected Goals,Progressive Passes,Tackles Won,Interceptions,Saves
Aaron Ramsey,2021,Wales,MF,30,3,99.0,6.6451091526400345,0,0,0.0,4,0,1,0
Aaron Ramsey,2022,Wales,MF,31,27,1584.0,6.920000000000001,1,1,2.5,126,25,17,0
Aaron Ramsey,2023,England,MF,20,14,527.0,6.52,0,0,0.3,8,14,1,0
Aaron Rowe,2018,England,FW,17,2,69.0,6.640997234693658,0,0,0.0,1,0,1,0
Aaron Seydel,2023,Germany,FW,27,16,619.0,6.720000000000001,1,0,1.0,10,2,1,0
Aaron Wan-Bissaka,2017,England,DF,19,7,627.0,6.677287430419026,0,0,0.0,23,19,15,0
Aaron Wan-Bissaka,2018,England,DF,20,35,3134.0,7.03,0,3,0.5,159,90,84,0
Aaron Wan-Bissaka,2019,England,DF,21,35,3070.0,7.079999999999999,0,4,0.7,134,80,66,0
Aaron Wan-Bissaka,2020,England,DF,22,34,3060.0,7.14,2,4,0.9,145,54,62,0
Aaron Wan-Bissaka,2021,England,DF,23,20,1793.0,6.91,0,0,0.3,61,36,34,0
Aaron Wan-Bissaka,2022,England,DF,24,19,1435.0,6.98,0,0,1.2,55,25,22,0
Aaron Wan-Bissaka,2023,England,DF,25,22,1780.0,6.95,0,2,0.1,77,25,41,0
Aarón Martín,2017,Spain,DF,20,32,2815.0,6.81,0,0,0.1,86,36,49,0
Aarón Martín,2018,Spain,DF,21,33,2878.0,7.09,0,3,0.8,106,30,38,0
Aarón Martín,2019,Spain,DF,22,22,1792.0,6.71,0,0,0.3,44,15,30,0
Aarón Martín,2020,Spain,DF,23,24,901.0,6.63,0,3,0.2,51,22,15,0
Aarón Martín,2021,Spain,DF,24,28,2292.0,7.03,1,1,1.0,69,33,20,0
Aarón Martín,2022,Spain,DF,25,28,1847.0,6.87,5,3,2.2,86,27,15,0
Aarón Martín,2023,Spain,DF,26,22,1376.0,6.67,0,1,0.2,35,10,9,0
Abakar Sylla,2023,Ivory Coast,DF,20,22,1792.0,6.86,2,0,1.6,72,23,26,0
Abass Issah,2020,Ghana,DF,21,2,18.0,6.639034790327134,0,0,0.0,1,0,0,0
Abdallah Sima,2022,Senegal,FW,21,34,1836.0,6.669999999999999,5,1,4.8,21,13,4,0
Abdallahi Mahmoud,2020,Mauritania,MF,20,2,66.0,6.638751119920388,0,0,0.0,1,2,1,0
Abdel Abqar,2023,Morocco,DF,24,27,2312.0,6.721711199621999,0,0,0.5,49,19,23,0
Abdel Jalil Medioub,2021,Algeria,DF,23,10,622.0,6.670663386676065,0,0,0.1,12,5,12,0
Abdelhamid Sabiri,2017,Morocco,MF,20,5,220.0,6.672346784660107,0,1,0.3,13,4,1,0
Abdelhamid Sabiri,2019,Morocco,MF,22,24,1048.0,6.68,4,1,3.1,42,16,8,0
Abdelhamid Sabiri,2021,Morocco,MF,24,14,893.0,7.080000000000001,3,2,1.4,35,18,7,0
Abdelhamid Sabiri,2022,Morocco,MF,25,18,1069.0,6.7,2,0,3.0,49,7,2,0
Abderrahman Rebbach,2023,Algeria,FW,24,23,722.0,6.700000000000001,1,0,0.8,14,5,3,0
Abdou Harroui,2021,Netherlands,MF,23,22,452.0,6.62,0,0,0.5,29,4,4,0
Abdou Harroui,2022,Netherlands,MF,24,23,647.0,6.660000000000001,2,0,1.5,36,6,2,0
Abdou Harroui,2023,Netherlands,MF,25,18,1019.0,6.89,3,3,3.1,38,11,5,0
Abdoul Camara,2017,Guinea,FW,27,14,888.0,6.76,2,1,1.6,24,4,7,0
Abdoul Kader Bamba,2019,France,FW,25,27,1468.0,6.87,1,3,2.0,58,15,16,0
Abdoul Kader Bamba,2020,France,FW,26,29,917.0,6.78,3,1,2.4,43,3,7,0
Abdoul Kader Bamba,2022,France,FW,28,4,78.0,6.640393587371822,0,0,0.1,3,0,0,0
Abdoul Kader Bamba,2023,France,FW,29,23,611.0,6.84,2,1,2.1,31,7,4,0
Abdoul Koné,2023,France,DF,18,3,193.0,6.640580834615574,0,0,0.0,5,7,2,0
Abdoulay Diaby,2020,Mali,DF,29,1,18.0,6.633516706252985,0,0,0.3,0,0,0,0
Abdoulaye Ba,2018,Senegal,DF,27,26,2110.0,6.85,1,0,1.3,44,33,29,0
Abdoulaye Bakayoko,2021,France,DF,18,4,307.0,6.66070044213846,0,0,0.0,7,9,12,0
Abdoulaye Dabo,2018,France,FW,17,2,116.0,6.644764929517794,0,0,0.0,6,1,0,0
Abdoulaye Doucouré,2017,Mali,MF,24,37,3324.0,7.02,7,3,3.5,222,52,54,0
Abdoulaye Doucouré,2018,Mali,MF,25,35,3062.0,6.81,5,6,6.2,202,38,34,0
Abdoulaye Doucouré,2019,Mali,MF,26,37,3156.0,6.8,4,2,5.2,161,30,31,0
Abdoulaye Doucouré,2020,Mali,MF,27,29,2443.0,6.9,2,3,2.3,104,32,39,0
Abdoulaye Doucouré,2021,Mali,MF,28,30,2537.0,6.8500000000000005,2,4,2.2,113,43,28,0
Abdoulaye Doucouré,2022,Mali,MF,29,25,1533.0,6.74,5,2,2.4,38,20,13,0
Abdoulaye Doucouré,2023,Mali,FW,30,32,2629.0,6.91,7,1,8.8,97,27,15,0
Abdoulaye Touré,2017,Guinea,MF,23,36,2810.0,6.9,1,1,1.5,184,52,62,0
Abdoulaye Touré,2018,Guinea,MF,24,34,2749.0,6.85,3,1,2.2,146,31,47,0
Abdoulaye Touré,2019,Guinea,MF,25,27,2221.0,6.93,3,0,3.1,130,21,29,0
Abdoulaye Touré,2020,Guinea,MF,26,29,1681.0,6.8,2,2,2.6,101,12,22,0
Abdoulaye Touré,2021,Guinea,MF,27,8,430.0,6.6629400857078025,0,0,0.1,17,4,4,0
Abdoulaye Touré,2023,Guinea,MF,29,30,2284.0,6.89,2,0,3.0,148,28,25,0
Abdourahmane Barry,2021,Guinea,DF,21,8,210.0,6.6519868134549025,0,0,0.0,8,4,4,0
Abdu Conté,2021,Portugal,DF,23,17,1347.0,6.59,0,1,0.2,37,12,4,0
Abdu Conté,2022,Portugal,DF,24,19,1315.0,6.669999999999999,1,2,0.6,56,17,6,0
Abdukodir Khusanov,2023,Uzbekistan,DF,19,11,809.0,6.678458980219962,0,0,0.2,23,12,13,0
Abdul Mumin,2022,Ghana,DF,24,16,922.0,6.510000000000001,0,0,0.4,19,9,9,0
Abdul Mumin,2023,Ghana,DF,25,20,1694.0,6.87,1,0,0.4,38,10,22,0
Abdón Prats,2019,Spain,FW,26,20,279.0,6.46,0,0,1.5,5,1,0,0
Abdón Prats,2021,Spain,FW,28,23,641.0,6.709999999999999,3,0,1.5,17,2,1,0
Abdón Prats,2022,Spain,FW,29,26,416.0,6.549999999999999,1,1,0.7,8,0,0,0
Abdón Prats,2023,Spain,FW,30,34,1270.0,6.819999999999999,6,1,3.2,26,4,2,0
Ablie Jallow,2017,Gambia,FW,18,2,129.0,6.6437872237693,0,0,0.1,2,1,3,0
Ablie Jallow,2023,Gambia,MF,24,17,918.0,6.81,3,2,2.0,42,5,8,0
Abou Lô,2023,Senegal,MF,23,6,197.0,6.648490946766741,0,0,0.1,4,1,4,0
Aboubakar Kamara,2018,Mauritania,FW,23,13,693.0,6.72,3,0,3.7,6,4,1,0
Aboubakar Kamara,2020,Mauritania,FW,25,21,436.0,6.662503621912885,1,0,1.7,13,3,1,0
Achraf Dari,2022,Morocco,DF,23,18,1317.0,6.68,1,0,0.4,33,14,19,0
Achraf Dari,2023,Morocco,DF,24,4,121.0,6.657318429981331,0,0,0.0,8,1,5,0
Achraf Hakimi,2017,Morocco,DF,18,9,757.0,6.742645257016993,2,0,0.3,31,15,10,0
Achraf Hakimi,2018,Morocco,DF,19,21,1740.0,6.94,2,4,1.7,107,19,29,0
Achraf Hakimi,2019,Morocco,DF,20,33,2715.0,7.069999999999999,5,10,4.9,168,41,30,0
Achraf Hakimi,2020,Morocco,DF,21,37,2665.0,7.05,7,8,4.7,98,32,22,0
Achraf Hakimi,2021,Morocco,DF,22,32,2479.0,6.929999999999999,4,6,2.5,99,51,28,0
Achraf Hakimi,2022,Morocco,DF,23,28,2053.0,6.92,5,3,3.8,99,34,16,0
Achraf Hakimi,2023,Morocco,DF,24,25,1932.0,7.34,4,5,4.2,218,19,12,0
Achraf Lazaar,2017,Morocco,MF,25,9,478.0,6.673719545180418,1,0,0.3,4,8,6,0
Adalberto Peñaranda,2017,Venezuela,FW,20,13,802.0,6.72,0,0,0.7,18,6,0,0
Adam Armstrong,2021,England,FW,24,23,1413.0,6.71,2,2,4.5,30,4,3,0
Adam Armstrong,2022,England,FW,25,30,1335.0,6.57,2,1,2.1,16,9,5,0
Adam Bodzek,2018,Germany,MF,32,21,1596.0,6.7,0,1,0.1,57,27,26,0
Adam Bodzek,2019,Germany,MF,33,28,2015.0,6.61,0,0,0.8,74,26,25,0
Adam Buksa,2022,Poland,FW,26,8,101.0,6.641776068958052,0,0,0.0,3,0,0,0
Adam Forshaw,2021,England,MF,29,22,1530.0,6.730000000000001,0,1,0.5,80,23,19,0
Adam Forshaw,2022,England,MF,30,12,479.0,6.680637509408201,0,0,0.0,33,9,4,0
Adam Hložek,2022,Czech Republic,FW,20,29,1286.0,6.8,5,3,2.7,32,4,6,0
Adam Hložek,2023,Czech Republic,MF,21,23,459.0,6.87,2,3,3.1,13,4,2,0
Adam Idah,2019,Ireland,FW,18,12,228.0,6.624334499007024,0,0,1.0,2,2,0,0
Adam Idah,2021,Ireland,FW,20,17,625.0,6.78,1,1,2.3,10,6,3,0
Adam Lallana,2017,England,MF,29,12,308.0,6.66299741160826,0,0,1.5,33,1,1,0
Adam Lallana,2018,England,MF,30,13,468.0,6.73,0,0,0.3,30,9,5,0
Adam Lallana,2019,England,MF,31,15,382.0,6.63,1,1,0.8,23,9,5,0
Adam Lallana,2020,England,MF,32,30,1596.0,6.78,1,1,1.6,109,13,15,0
Adam Lallana,2021,England,MF,33,24,1561.0,6.740000000000001,0,1,1.1,76,17,16,0
Adam Lallana,2022,England,MF,34,16,722.0,6.779999999999999,2,1,0.9,33,4,2,0
Adam Lallana,2023,England,MF,35,25,850.0,6.68,0,1,0.8,39,3,3,0
Adam Marušić,2017,Montenegro,DF,24,32,2523.0,6.780000000000001,3,4,3.1,67,21,31,0
Adam Marušić,2018,Montenegro,DF,25,26,2111.0,6.72,1,1,1.0,59,15,24,0
Adam Marušić,2019,Montenegro,DF,26,15,942.0,6.74,2,1,1.9,9,6,14,0
Adam Marušić,2020,Montenegro,DF,27,36,2966.0,6.77,2,3,2.2,92,22,40,0
Adam Marušić,2021,Montenegro,DF,28,33,2721.0,6.69,1,0,0.2,111,18,41,0
Adam Marušić,2022,Montenegro,DF,29,33,2760.0,6.85,0,2,0.7,116,30,38,0
Adam Marušić,2023,Montenegro,DF,30,37,3100.0,6.77,1,0,0.4,118,31,29,0
Adam Masina,2017,Morocco,DF,23,34,2830.0,6.69,0,1,1.9,162,57,51,0
Adam Masina,2018,Morocco,DF,24,14,1004.0,6.81,0,1,0.1,39,17,17,0
Adam Masina,2019,Morocco,DF,25,26,1821.0,6.7299999999999995,1,0,0.9,73,22,28,0
Adam Masina,2021,Morocco,DF,27,15,1077.0,6.65,0,1,0.3,37,13,18,0
Adam Masina,2022,Morocco,DF,28,14,789.0,6.6899999999999995,2,0,0.1,24,7,10,0
Adam Masina,2023,Morocco,DF,29,20,544.0,6.71,0,0,0.30000000000000004,43,12,13,0
Adam Obert,2021,Slovakia,DF,18,6,274.0,6.646751838121891,0,0,0.0,5,5,4,0
Adam Obert,2023,Slovakia,DF,20,17,941.0,6.56,0,0,0.1,37,9,21,0
Adam Ounas,2017,Algeria,FW,20,7,96.0,6.637012572941146,0,0,0.2,4,3,0,0
Adam Ounas,2018,Algeria,MF,21,18,538.0,6.86,3,0,1.4,30,2,2,0
Adam Ounas,2019,Algeria,FW,22,16,1123.0,7.16,2,4,2.0,52,5,11,0
Adam Ounas,2020,Algeria,FW,23,22,753.5,7.26,4,4,3.1999999999999997,84,6,6,0
Adam Ounas,2021,Algeria,MF,24,15,326.0,6.82,0,0,0.7,31,1,2,0
Adam Ounas,2022,Algeria,FW,25,23,539.5,6.959999999999999,1,1,2.3,70,11,8,0
Adam Ounas,2023,Algeria,FW,26,17,418.0,6.869999999999999,1,0,0.6,20,3,6,0
Adam Smith,2017,England,DF,26,27,2071.0,6.75,1,3,0.5,90,36,31,0
Adam Smith,2018,England,DF,27,25,2066.0,6.63,1,1,0.5,98,32,31,0
Adam Smith,2019,England,DF,28,24,2055.0,6.5,0,1,0.8,93,32,25,0
Adam Smith,2022,England,DF,31,37,2943.0,6.53,0,1,0.5,83,29,25,0
Adam Smith,2023,England,DF,32,28,2150.0,6.69,0,2,0.1,89,23,21,0
Adam Webster,2019,England,DF,24,31,2668.0,6.91,3,1,1.3,119,17,45,0
Adam Webster,2020,England,DF,25,29,2594.0,6.93,1,0,2.0,133,16,47,0
Adam Webster,2021,England,DF,26,22,1434.0,6.91,2,0,0.9,109,8,17,0
Adam Webster,2022,England,DF,27,27,1985.0,6.87,0,0,1.8,119,12,19,0
Adam Webster,2023,England,DF,28,15,1144.0,6.88,0,0,0.4,80,12,16,0
Adam Wharton,2023,England,MF,19,16,1297.0,7.09,0,3,0.3,79,32,20,0
Adam Zreľák,2018,Slovakia,FW,24,14,941.0,6.72,2,1,3.7,9,9,2,0
Adama Bojang,2023,Gambia,FW,19,9,83.0,6.621901916686035,0,0,1.3,1,1,1,0
Adama Diakhaby,2017,France,FW,21,22,850.0,6.7,2,3,2.2,7,15,13,0
Adama Diakhaby,2018,France,FW,22,12,552.0,6.63481573027821,0,0,0.6,5,3,1,0
Adama Mbengue,2017,Senegal,DF,23,19,1595.0,6.87,0,0,0.4,78,48,28,0
Adama Mbengue,2018,Senegal,DF,24,11,739.0,6.641481887657204,0,0,0.2,21,32,7,0
Adama Niane,2017,Mali,FW,24,33,2164.0,6.75,8,2,11.3,27,12,9,0
Adama Soumaoro,2017,France,DF,25,14,1192.0,6.74,0,0,0.1,17,5,16,0
Adama Soumaoro,2018,France,DF,26,20,1723.0,6.95,0,1,0.5,25,11,21,0
Adama Soumaoro,2019,France,DF,27,14,526.0,6.737044161427654,2,0,1.2000000000000002,19,3,15,0
Adama Soumaoro,2020,France,DF,28,23,950.0,6.889999999999999,1,0,1.5,54,14,22,0
Adama Soumaoro,2021,France,DF,29,28,2266.0,6.7,0,0,0.9,61,5,34,0
Adama Soumaoro,2022,France,DF,30,23,1867.0,6.82,0,0,0.3,50,17,15,0
Adama Traoré,2017,Mali,MF,22,3,189.0,6.733372258490907,3,0,0.9,8,4,3,0
Adama Traoré,2018,Spain,FW,22,35,571.0,6.87,1,2,1.6,38,14,9,0
Adama Traoré,2019,Spain,FW,23,108,1212.3333333333333,7.169999999999999,10,26,10.200000000000001,296,44,34,0
Adama Traoré,2020,Spain,FW,24,37,2649.0,7.03,2,2,2.0,70,16,7,0
Adama Traoré,2021,Spain,FW,25,31,724.5,7.049999999999999,1,2,3.7,39,5,6,0
Adama Traoré,2022,Spain,FW,26,34,1496.0,6.74,2,1,1.4,36,7,3,0
Adama Traoré,2023,Spain,FW,27,17,377.0,6.78,2,3,1.5,16,3,1,0
Adel Taarabt,2017,Morocco,FW,28,22,1615.0,7.130000000000001,2,2,1.5,81,11,12,0
Adem Ljajić,2017,Serbia,MF,25,27,2166.0,7.38,6,10,4.3,149,9,9,0
Adem Ljajić,2018,Serbia,MF,26,1,30.0,6.639022948056363,0,0,0.1,2,0,0,0
Adil Rami,2017,France,DF,31,33,2955.0,7.01,1,2,2.0,78,29,45,0
Adil Rami,2018,France,DF,32,16,1412.0,6.890000000000001,1,1,1.6,44,9,18,0
Adil Rami,2021,France,DF,35,17,1171.0,6.83,3,0,0.8,24,9,16,0
Adil Rami,2022,France,DF,36,20,1596.0,6.7,0,1,0.7,35,14,25,0
Adil Taoui,2019,France,MF,17,2,25.0,6.637960443385223,0,0,0.1,0,2,2,0
Admir Mehmedi,2017,Switzerland,FW,26,17,495.0,6.94,3,3,1.1,57,20,14,0
Admir Mehmedi,2018,Switzerland,FW,27,26,1692.0,7.03,6,5,4.0,74,28,12,0
Admir Mehmedi,2019,Switzerland,MF,28,21,1200.0,6.82,2,2,1.6,55,6,5,0
Admir Mehmedi,2020,Switzerland,MF,29,18,820.0,6.76,0,2,0.6,71,9,5,0
Ado Onaiwu,2022,Japan,FW,26,34,1082.0,6.62,2,1,1.6,30,6,2,0
Adolfo Gaich,2020,Argentina,FW,21,15,768.0,6.54,2,0,2.8,4,4,2,0
Adolfo Gaich,2022,Argentina,FW,23,16,726.0,6.69,2,0,2.5,11,3,3,0
Adri Bosch,2023,Spain,DF,22,1,26.0,6.637911732940499,0,0,0.0,1,1,0,0
Adrian Beck,2023,Germany,MF,26,23,974.0,6.65,1,1,1.7,29,13,4,0
Adrian Fein,2021,Germany,MF,22,3,32.0,6.641589039744723,0,0,0.0,0,0,2,0
Adrian Grbić,2020,Austria,FW,23,33,961.0,6.61,4,0,6.5,10,4,5,0
Adrian Grbić,2021,Austria,FW,24,16,518.0,6.64,1,0,1.7,3,1,0,0
Adrian Grbić,2023,Austria,FW,26,1,31.0,6.636281669425445,0,0,0.1,0,0,0,0
Adrian Mariappa,2017,Jamaica,DF,30,28,2210.0,6.68,0,0,0.7,60,26,45,0
Adrian Mariappa,2018,Jamaica,DF,31,26,1927.0,6.67,0,0,0.7,41,22,26,0
Adrian Mariappa,2019,Jamaica,DF,32,20,1513.0,6.44,0,0,0.2,38,14,11,0
Adrian Stoian,2017,Romania,MF,26,32,2133.0,6.69,2,4,1.6,139,19,25,0
Adrien Hunou,2017,France,FW,23,24,1458.0,6.6,5,1,3.9,33,15,9,0
Adrien Hunou,2018,France,FW,24,19,1240.0,6.81,7,1,7.7,16,7,5,0
Adrien Hunou,2019,France,FW,25,23,1210.0,6.84,8,1,7.9,27,18,5,0
Adrien Hunou,2020,France,FW,26,20,589.0,6.71,4,0,4.6,14,3,1,0
Adrien Hunou,2022,France,MF,28,34,2234.0,6.64,4,1,6.5,62,20,7,0
Adrien Rabiot,2017,France,MF,22,33,2362.0,7.089999999999999,1,5,1.4,199,36,33,0
Adrien Rabiot,2018,France,MF,23,14,1063.0,7.28,2,1,1.5,122,20,10,0
Adrien Rabiot,2019,France,MF,24,28,1912.0,6.84,1,1,1.5,87,31,32,0
Adrien Rabiot,2020,France,MF,25,34,2313.0,7.089999999999999,4,2,2.7,122,42,43,0
Adrien Rabiot,2021,France,MF,26,32,2285.0,6.96,0,2,2.1,99,43,20,0
Adrien Rabiot,2022,France,MF,27,32,2748.0,7.049999999999999,8,4,6.2,133,35,26,0
Adrien Rabiot,2023,France,MF,28,31,2651.0,7.2299999999999995,5,3,3.5,120,39,25,0
Adrien Silva,2017,Portugal,MF,28,12,761.0,6.745317896194478,0,1,0.3,55,13,14,0
Adrien Silva,2018,Portugal,MF,29,17,636.0,6.84,0,0,0.3,113,33,17,0
Adrien Silva,2019,Portugal,MF,30,22,1221.0,6.8500000000000005,0,2,0.6,92,22,12,0
Adrien Silva,2020,Portugal,MF,31,24,1599.0,6.77,1,1,0.5,94,22,30,0
Adrien Silva,2021,Portugal,MF,32,17,1083.0,6.75,0,1,0.3,57,12,23,0
Adrien Tameze,2017,Cameroon,MF,23,26,1681.0,6.95,0,1,0.3,86,36,41,0
Adrien Tameze,2018,Cameroon,MF,24,37,2942.0,6.8100000000000005,0,3,1.0,163,44,56,0
Adrien Tameze,2019,Cameroon,MF,25,15,365.0,6.719145266339036,1,0,0.8,34,5,10,0
Adrien Tameze,2020,Cameroon,MF,26,33,2304.0,6.77,1,0,1.2,101,25,32,0
Adrien Tameze,2021,Cameroon,MF,27,38,2574.0,6.890000000000001,4,2,1.2,134,29,52,0
Adrien Tameze,2022,Cameroon,MF,28,37,3031.0,6.62,0,0,0.9,103,30,37,0
Adrien Tameze,2023,Cameroon,DF,29,29,2146.0,6.85,0,2,0.7,90,16,47,0
Adrien Thomasson,2017,France,MF,23,36,2578.0,6.830000000000001,5,3,4.2,128,52,18,0
Adrien Thomasson,2018,France,MF,24,34,2479.0,6.88,5,8,4.5,104,27,18,0
Adrien Thomasson,2019,France,MF,25,25,2072.0,7.08,8,1,5.6,95,21,9,0
Adrien Thomasson,2020,France,MF,26,37,2624.0,6.599999999999999,5,1,6.2,99,17,22,0
Adrien Thomasson,2021,France,MF,27,31,2389.0,7.0600000000000005,8,4,6.2,151,31,29,0
Adrien Thomasson,2022,France,MF,28,35,1107.5,6.95,5,7,4.5,90,26,7,0
Adrien Thomasson,2023,France,MF,29,29,1193.0,6.82,1,2,3.8,68,14,9,0
Adrien Truffert,2020,France,DF,18,29,1951.0,6.81,1,3,1.1,77,18,18,0
Adrien Truffert,2021,France,DF,19,30,1639.0,6.76,3,2,1.8,84,21,19,0
Adrien Truffert,2022,France,DF,20,28,1954.0,6.95,0,6,0.6,89,32,22,0
Adrien Truffert,2023,France,DF,21,30,2145.0,6.86,1,2,1.7,98,21,19,0
Adrià Altimira,2023,Spain,DF,22,11,775.0,6.679363511286159,0,0,0.0,29,7,5,0
Adrián González,2017,Spain,MF,29,29,2340.0,6.68,3,0,3.6,114,25,38,0
Adrián Guerrero,2019,Spain,DF,21,2,126.0,6.64345484291783,0,0,0.0,3,2,2,0
Adrián López,2017,Spain,FW,29,30,2345.0,6.94,9,6,7.7,104,14,10,0
Adrián López,2019,Spain,FW,31,26,1443.0,6.63,2,0,3.1,50,5,4,0
Adrián López,2020,Spain,FW,32,17,481.0,6.58,1,1,1.4,23,3,0,0
Adrián Ramos,2019,Colombia,FW,33,7,226.0,6.648298226045517,0,0,0.4,12,2,1,0
Adson,2023,Brazil,MF,22,8,238.0,6.652645321984338,0,0,0.2,15,6,2,0
Afimico Pululu,2021,France,FW,22,8,70.0,6.637664151011675,0,0,0.0,0,0,0,0
Afonso Figueiredo,2017,Portugal,DF,24,5,223.0,6.652113289952736,0,0,0.0,13,3,0,0
Afriyie Acquah,2017,Ghana,MF,25,22,951.0,6.55,1,0,0.4,60,6,16,0
Afriyie Acquah,2018,Ghana,MF,26,28,1510.0,6.66,2,0,1.4,91,9,12,0
Ager Aketxe,2017,Spain,MF,23,3,37.0,6.645344892298088,0,0,0.1,6,1,1,0
Agustín Marchesín,2022,Argentina,GK,34,19,1710.0,6.76,0,0,0.0,1,0,0,42
Agustín Martegani,2023,Argentina,MF,23,18,731.0,6.63,1,0,0.6,28,7,4,0
Agustín Rogel,2019,Uruguay,DF,21,10,858.0,6.669396319012929,0,0,0.5,19,8,11,0
Agustín Rogel,2022,Uruguay,DF,24,20,1426.0,6.47,0,1,0.8,23,9,11,0
Agustín Álvarez Martínez,2022,Uruguay,FW,21,22,368.0,6.6831405510963515,1,1,1.5,6,3,3,0
Ahmad Benali,2017,Libya,MF,25,10,811.0,6.7536943906200975,1,1,0.9,50,10,8,0
Ahmad Benali,2020,Libya,MF,28,18,1214.0,6.67,0,1,0.6,67,11,6,0
Ahmed Elmohamady,2019,Egypt,DF,31,18,1031.0,6.77,1,1,0.2,47,9,13,0
Ahmed Elmohamady,2020,Egypt,DF,32,14,839.0,6.95,0,0,0.4,45,13,17,0
Ahmed Kutucu,2018,Turkey,FW,18,13,425.0,6.71,2,0,1.4,4,3,0,0
Ahmed Kutucu,2019,Turkey,FW,19,25,679.0,6.629999999999999,3,2,1.9,16,7,2,0
Ahmed Kutucu,2020,Turkey,FW,20,7,108.0,6.637652308740904,0,0,0.1,1,0,0,0
Ahmed Touba,2023,Algeria,DF,25,6,277.0,6.649650310661721,0,0,0.0,2,4,7,0
Aiham Ousou,2023,Syria,DF,23,6,430.0,6.65261548667992,0,0,0.2,7,5,7,0
Aihen Muñoz,2018,Spain,DF,20,11,951.0,6.673929664469047,0,0,0.1,24,8,7,0
Aihen Muñoz,2019,Spain,DF,21,15,981.0,6.610000000000001,0,0,0.0,24,18,2,0
Aihen Muñoz,2020,Spain,DF,22,16,1210.0,6.7,0,1,0.3,41,16,10,0
Aihen Muñoz,2021,Spain,DF,23,20,1342.0,6.57,0,0,0.1,51,17,17,0
Aihen Muñoz,2022,Spain,DF,24,23,1756.0,6.650000000000001,0,1,0.2,57,23,9,0
Aihen Muñoz,2023,Spain,DF,25,21,1127.0,6.84,0,2,0.3,39,21,9,0
Ailton,2017,Brazil,DF,22,5,108.0,6.6414563100733846,0,0,0.0,4,5,2,0
Aimar Oroz,2019,Spain,FW,17,1,11.0,6.637664151011675,0,0,0.0,0,0,0,0
Aimar Oroz,2022,Spain,MF,20,31,2013.0,6.71,3,6,3.6,86,14,24,0
